address,district,area,bedrooms,garage,type,rent,total,latitude,longitude,geometry,ID,NM_MESO,CD_GEOCODU,distance_to_schools,distance_to_hospitals,distance_to_parks
Rua Hanna Abduch,Vila Palmeiras,80,2,0,Casa,2150,2232,-23.4983425,-46.6879917,POINT (-46.6879917 -23.4983425),20,METROPOLITANA DE SÃO PAULO,35,69.74338305344925,473.0116908425049,1244.291934312321
Avenida Guarulhos,Ponte Grande,45,2,1,Apartamento,1984,2416,-23.5037826,-46.5520524,POINT (-46.5520524 -23.5037826),20,METROPOLITANA DE SÃO PAULO,35,1029.8396563073277,806.0826156480623,1425.233689730826
Rua das Violetas,Vila Marina,52,2,1,Apartamento,1800,1879,-23.6780367,-46.5175348,POINT (-46.5175348 -23.6780367),20,METROPOLITANA DE SÃO PAULO,35,6259.593371659123,6343.18538432761,6462.711332606841
Avenida Sapopemba,Jardim Utinga,45,2,1,Apartamento,1300,1575,-23.6153367,-46.5216801,POINT (-46.5216801 -23.6153367),20,METROPOLITANA DE SÃO PAULO,35,485.10312938214656,290.1644157487553,1600.2676476517936
Avenida São João,República,31,1,0,Apartamento,1300,1350,-23.5397579,-46.6448726,POINT (-46.6448726 -23.5397579),20,METROPOLITANA DE SÃO PAULO,35,392.56731357321223,372.8679396180882,120.93353655257081
Rua Elísio de Carvalho,Vila São Luís(zona Oeste),12,1,0,Apartamento,1122,1208,-23.5716337,-46.7396013,POINT (-46.7396013 -23.5716337),20,METROPOLITANA DE SÃO PAULO,35,85.77169985106707,746.7235601566174,406.6070188147446
Rua Arruda Ferreira,Vila Guilherme,20,1,0,Apartamento,1100,1230,-23.5129224,-46.6084788,POINT (-46.6084788 -23.5129224),20,METROPOLITANA DE SÃO PAULO,35,89.21024070916624,473.63993844452136,976.7045362060541
Rua Aurora,Santa Ifigênia,31,1,0,Studio e kitnet,1075,1393,-23.5379264,-46.6370485,POINT (-46.6370485 -23.5379264),20,METROPOLITANA DE SÃO PAULO,35,38.40128902921445,595.5143173902698,356.74694516732126
Rua Torquato Tasso,Vila Prudente,60,2,0,Casa,1700,1773,-23.5841611,-46.5758843,POINT (-46.5758843 -23.5841611),20,METROPOLITANA DE SÃO PAULO,35,214.53845141289912,537.1630056067216,817.7785052566605
Avenida Júlio Prestes,Vila Galvão,65,2,1,Apartamento,1500,2110,-23.4604137,-46.5589656,POINT (-46.5589656 -23.4604137),20,METROPOLITANA DE SÃO PAULO,35,1068.7203829332245,1708.5617348551125,2252.8696866764776
Rua Arnaldo Cintra,Vila Moreira,50,2,1,Apartamento,2500,2950,-23.5277539,-46.5611838,POINT (-46.5611838 -23.5277539),20,METROPOLITANA DE SÃO PAULO,35,111.30390615859375,627.3189765987847,676.7075553849605
Rua Maranjaí,Vila Monumento,32,1,0,Casa,750,782,-23.5798817,-46.6154177,POINT (-46.6154177 -23.5798817),20,METROPOLITANA DE SÃO PAULO,35,173.93134093879354,494.0036515265483,526.419399080033
Rua Oscar Cintra Gordinho,Liberdade,25,1,0,Studio e kitnet,850,1102,-23.552991,-46.6275366,POINT (-46.6275366 -23.552991),20,METROPOLITANA DE SÃO PAULO,35,189.05903747982418,225.71871375003937,515.4454441437347
Rua Manuel Leiroz,Vila Penteado,31,1,0,Apartamento,1500,1928,-23.5137743,-46.5203076,POINT (-46.5203076 -23.5137743),20,METROPOLITANA DE SÃO PAULO,35,498.66834085027375,745.4284872860823,1813.9508386857315
Rua Itapeti,Vila Alpina,42,1,1,Apartamento,1600,2066,-23.651843,-46.5436217,POINT (-46.5436217 -23.651843),20,METROPOLITANA DE SÃO PAULO,35,4346.454633899545,4792.297409484141,5377.799796542474
Rua Helena Zerrener,Liberdade,23,1,0,Studio e kitnet,753,1162,-23.5534568,-46.6286629,POINT (-46.6286629 -23.5534568),20,METROPOLITANA DE SÃO PAULO,35,83.79967635521479,269.36487097505454,393.1104950636203
Rua Antonieta,Picanço,60,2,1,Casa,1700,1857,-23.4439345,-46.5445973,POINT (-46.5445973 -23.4439345),20,METROPOLITANA DE SÃO PAULO,35,2542.1698157690184,2979.78796763086,3487.10965087057
Rua Natividade Saldanha,São Lucas,22,0,0,Studio e kitnet,900,1126,-23.59294,-46.5565614,POINT (-46.5565614 -23.59294),20,METROPOLITANA DE SÃO PAULO,35,145.25673898360867,610.2135667727671,910.9723427000716
Rua Virginópolis,Sacomã,80,2,1,Casa,2426,2529,-23.6151641,-46.5995056,POINT (-46.5995056 -23.6151641),20,METROPOLITANA DE SÃO PAULO,35,57.119982984601315,249.40882129799851,947.3686358081953
Avenida Joaquina Ramalho,Vila Guilherme,34,1,0,Studio e kitnet,1250,1416,-23.5125174,-46.6066366,POINT (-46.6066366 -23.5125174),20,METROPOLITANA DE SÃO PAULO,35,242.21799586262136,424.5078479847621,830.4119651735044
Rua Coronel Mursa,Brás,19,1,0,Studio e kitnet,1700,2016,-23.548639,-46.6163579,POINT (-46.6163579 -23.548639),20,METROPOLITANA DE SÃO PAULO,35,58.53616183688435,930.3737486630262,531.7644856774787
Rua da Glória,Liberdade,28,1,0,Studio e kitnet,2000,2327,-23.5564179,-46.6341737,POINT (-46.6341737 -23.5564179),20,METROPOLITANA DE SÃO PAULO,35,286.06289577622806,170.37914105768184,322.6596250987097
Rua Doutor Raul da Rocha Medeiros,Tatuapé,52,2,1,Apartamento,3800,4672,-23.5347406,-46.5628588,POINT (-46.5628588 -23.5347406),20,METROPOLITANA DE SÃO PAULO,35,27.69006659931957,388.076188700078,241.1160051302989
Rua Alencar Araripe,Sacomã,50,2,1,Apartamento,1712,2486,-23.6136667,-46.5971237,POINT (-46.5971237 -23.6136667),20,METROPOLITANA DE SÃO PAULO,35,89.21024293284195,332.5098493978513,1023.9307099737196
Rua Cônego Vicente Miguel Marino,Barra Funda,38,1,1,Apartamento,2400,2953,-23.5266013,-46.6540593,POINT (-46.6540593 -23.5266013),20,METROPOLITANA DE SÃO PAULO,35,205.5162752654065,303.2688101203377,466.22512286226333
Rua Doutor Fleury Silveira,Vila Santa Maria,23,1,1,Casa,700,855,-23.4896093,-46.670416,POINT (-46.670416 -23.4896093),20,METROPOLITANA DE SÃO PAULO,35,58.6658059359389,407.2220988445932,883.4614296582162
Rua Hermínio Lemos,Cambuci,15,1,0,Studio e kitnet,1150,1194,-23.5676498,-46.6229699,POINT (-46.6229699 -23.5676498),20,METROPOLITANA DE SÃO PAULO,35,91.052114590073,168.73942765415535,874.6562058664746
Rua Doutor Bento Teobaldo Ferraz,Várzea da Barra Funda,31,1,0,Apartamento,2100,2429,-23.5248504,-46.6711222,POINT (-46.6711222 -23.5248504),20,METROPOLITANA DE SÃO PAULO,35,343.5462364902309,861.6498659183811,371.3697112907091
Avenida Doutor Bernardino Brito Fonseca de Carvalho,Vila Talarico,62,3,1,Apartamento,1700,2217,-23.531677,-46.5212241,POINT (-46.5212241 -23.531677),20,METROPOLITANA DE SÃO PAULO,35,303.1252632288511,620.1801322937343,1085.399397301005
Rua do Tatuapé,Maranhão,32,1,0,Apartamento,1550,1795,-23.5306814,-46.5629722,POINT (-46.5629722 -23.5306814),20,METROPOLITANA DE SÃO PAULO,35,78.86992947994283,442.77160378893495,304.5980801671878
Rua Monsenhor Francisco de Paula,Vila Aricanduva,46,2,0,Apartamento,1799,1928,-23.5362241,-46.5398327,POINT (-46.5398327 -23.5362241),20,METROPOLITANA DE SÃO PAULO,35,92.39271048179518,376.0855531194845,1215.5273706507955
Rua Doutor Artur Rudge Ramos,Vila Caminho do Mar,98,2,1,Casa,1700,1841,-23.665122,-46.567362,POINT (-46.567362 -23.665122),20,METROPOLITANA DE SÃO PAULO,35,3200.7631551235186,3451.401893156258,5159.668309588051
Rua Marquês Maricá,Sacomã,38,1,0,Studio e kitnet,1030,1053,-23.6140288,-46.5982077,POINT (-46.5982077 -23.6140288),20,METROPOLITANA DE SÃO PAULO,35,174.3110775356873,378.63158304747776,1056.492707204485
Rua Nossa Senhora Acheropita,Vila Santa Clara,42,1,1,Casa,1600,1715,-23.5798603,-46.5680818,POINT (-46.5680818 -23.5798603),20,METROPOLITANA DE SÃO PAULO,35,96.07730802589153,460.709296381029,1596.0256703352175
Rua Tanque Velho,Vila Nivi,42,2,0,Casa em condomínio,1500,1625,-23.4804217,-46.5926675,POINT (-46.5926675 -23.4804217),20,METROPOLITANA DE SÃO PAULO,35,216.7313276288607,546.9138599167579,1067.0031617015113
Avenida dos Ourives,Jardim São Savério,41,2,0,Apartamento,1300,1750,-23.6539478,-46.6124891,POINT (-46.6124891 -23.6539478),20,METROPOLITANA DE SÃO PAULO,35,207.14528223121334,416.449665852295,1495.6784291892152
Rua Olímpio Portugal,Mooca,38,1,1,Apartamento,1550,1913,-23.5562916,-46.601464,POINT (-46.601464 -23.5562916),20,METROPOLITANA DE SÃO PAULO,35,271.7649833357428,222.78153547121101,792.4964487808406
Avenida Monteiro Lobato,Macedo,28,1,1,Studio e kitnet,2100,2495,-23.4647321,-46.5129203,POINT (-46.5129203 -23.4647321),20,METROPOLITANA DE SÃO PAULO,35,2656.7478120989413,2760.380853601892,4056.959848461247
Rua Fonseca da Costa,Bosque da Saúde,209,3,2,Casa,6000,6674,-23.6212296,-46.6255767,POINT (-46.6255767 -23.6212296),20,METROPOLITANA DE SÃO PAULO,35,293.60102287300384,733.3070304204575,192.00047176786464
Rua Bartholomeu do Canto,Vila Palmeiras,31,1,0,Apartamento,1700,2166,-23.5027205,-46.6859103,POINT (-46.6859103 -23.5027205),20,METROPOLITANA DE SÃO PAULO,35,435.6452866131596,873.6054317224776,1093.3865899394307
Rua Natividade Saldanha,São Lucas,19,0,0,Studio e kitnet,850,1052,-23.59294,-46.5565614,POINT (-46.5565614 -23.59294),20,METROPOLITANA DE SÃO PAULO,35,145.25673898360867,610.2135667727671,910.9723427000716
Rua Antônio Gomes Ferreira,Parque Fongaro,32,2,0,Apartamento,1100,1492,-23.6339516,-46.5941399,POINT (-46.5941399 -23.6339516),20,METROPOLITANA DE SÃO PAULO,35,283.06713325433236,521.3807213720211,1408.956706534632
Rua Jovina Maria de Jesus,Jardim das Acácias,209,4,2,Casa,6950,7722,-23.6231918,-46.687339,POINT (-46.687339 -23.6231918),20,METROPOLITANA DE SÃO PAULO,35,44.48759364383928,276.4737163803093,1205.122726488157
