address,district,area,bedrooms,garage,type,rent,total,latitude,longitude
Rua Coronel Deraldo Jordão,Ipiranga,120,3,3,Casa,5500,5962,-23.6002693,-46.6193007
Rua Bela Cintra,Consolação,55,1,0,Apartamento,3899,4467,-23.5564177,-46.6618937
Avenida Benigno Carrera,Vila Campestre,35,1,0,Casa,874,961,-23.6616964,-46.6495484
Avenida Tiradentes,Luz,48,2,1,Apartamento,2860,3406,-23.5310788,-46.6321542
Rua do Chico Nunes,Vila Andrade,36,2,0,Apartamento,980,1138,-23.6275978,-46.7477784
Rua Frei Gaspar,Mooca,33,1,0,Apartamento,3100,3600,-23.5483636,-46.6062813
Rua Manuel Dias de Oliveira,Jardim Alvorada (zona Oeste),40,2,0,Apartamento,1101,1443,-14.5199978,-40.3561706
Rua Pedro de Melo Sousa,Vila Arcadia,39,1,0,Casa,938,1019,-23.5040622,-46.7023946
Rua Joaquim Oliveira Freitas,Vila Mangalot,51,2,1,Apartamento,920,1572,-23.4923992,-46.7451314
Avenida Senador José Ermírio de Moraes,Tremembé,62,2,1,Apartamento,2300,2952,-23.4524981,-46.6145939
Rua Domingos Lopes da Silva,Vila Suzana,35,1,1,Apartamento,959,1840,-23.6180782,-46.7376732
Avenida Ipiranga,República,29,1,0,Studio e kitnet,1725,2142,-23.5402087,-46.6374753
Rua Porto de Palos,Jardim Peri,41,2,0,Apartamento,1000,1408,-23.474168,-46.7116577
Rua Fernando Dondon,Tatuapé,24,1,0,Studio e kitnet,1600,1964,-23.5464234,-46.5620488
Rua Tenente-coronel Soares Neiva,Vila Aricanduva,37,2,0,Apartamento,1500,1728,-23.5340441,-46.5426343
Rua Conselheiro Ramalho,Bela Vista,26,1,0,Studio e kitnet,1953,2338,-23.5577177,-46.6443949
Rua Tomé de Lara,Tucuruvi,41,2,0,Apartamento,1800,2019,-23.4793839,-46.6090902
Rua Conselheiro Lafaiette,Mooca,30,1,0,Apartamento,1635,2033,-22.933668,-47.03701
Rua Barão de Campinas,Campos Elíseos,12,1,0,Studio e kitnet,900,1125,-23.1896119,-46.9015053
Rua Maria Zélia,Piqueri,41,1,1,Casa,1550,1624,-23.5030391,-46.7122887
Rua Ribeiro Marcondes,Vila Prudente,32,1,0,Studio e kitnet,1350,1502,-23.5817944,-46.5804169
Avenida Ajarani,Cidade Patriarca,44,2,1,Apartamento,1800,2527,-23.5408435,-46.51231
Rua Antônio de Macedo Soares,Campo Belo,50,1,1,Apartamento,3350,4029,-23.6242797,-46.6770146
Rua Martins Fontes,Centro,30,1,0,Apartamento,2600,3100,-23.296155,-45.9473338
Avenida Rubens Fraga de Toledo Arruda,Engenheiro Goulart,46,2,0,Apartamento,1400,1758,-23.4963252,-46.5117151
Avenida Nossa Senhora do Sabará,Vila Sofia,69,2,1,Apartamento,2170,3053,-23.6890767,-46.6798872
Rua Raul Bispo dos Santos,Vila Pedra Branca,60,1,0,Casa,1100,1156,-23.4537342,-46.6440698
Alameda Barros,Santa Cecília,30,1,0,Studio e kitnet,2327,2767,-23.536349,-46.6566334
Avenida Aparecida do Rio Negro,Jardim Peri,43,2,1,Apartamento,1732,2078,-23.5008579,-46.7199044
